Log,LoggingLevel,Method
Sending UPTODATE message to <*>,debug,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
Received ACK from Observer <*>,debug,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
"unexpected quorum packet, type: <*>",warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
Unexpected exception in LearnerHandler: ,error,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
******* GOODBYE <*> ********,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
,dumpToLog,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
Unexpected exception in LearnerHandler.,error,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
******* GOODBYE <*> ********,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
,dumpToLog,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
too many concurrent sync.,error,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
******* GOODBYE <*> ********,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
,dumpToLog,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
Unexpected exception in LearnerHandler.,error,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
******* GOODBYE <*> ********,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
,dumpToLog,<org.apache.zookeeper.server.quorum.LearnerHandler: void run()>
User \'<*>\' not found in list of DIGEST-MD authenticateable users.,warn,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handleNameCallback(javax.security.auth.callback.NameCallback)>
"The digest in the snapshot has digest version of <*>, with zxid as x<*>, and digest value as <*>",info,"<org.apache.zookeeper.server.DataTree: boolean deserializeZxidDigest(org.apache.jute.InputArchive,long)>"
The digest value is empty in snapshot,info,"<org.apache.zookeeper.server.DataTree: boolean deserializeZxidDigest(org.apache.jute.InputArchive,long)>"
"The zxid of snapshot digest x<*> is smaller than the known snapshot highest zxid, the snapshot started with zxid x<*>. It will be invalid to use this snapshot digest associated with this zxid, will ignore comparing it.",info,"<org.apache.zookeeper.server.DataTree: boolean deserializeZxidDigest(org.apache.jute.InputArchive,long)>"
"Got EOF exception while reading the digest, likely due to the reading an older snapshot.",warn,"<org.apache.zookeeper.server.DataTree: boolean deserializeZxidDigest(org.apache.jute.InputArchive,long)>"
Unexpected throwable,error,"<org.apache.zookeeper.ClientCnxnSocketNetty$ZKClientHandler: void exceptionCaught(io.netty.channel.ChannelHandlerContext,java.lang.Throwable)>"
Created new input stream: <*>,debug,<org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator: org.apache.jute.InputArchive createInputArchive(java.io.File)>
Created new input archive: <*>,debug,<org.apache.zookeeper.server.persistence.FileTxnLog$FileTxnIterator: org.apache.jute.InputArchive createInputArchive(java.io.File)>
Using <*>ms as the quorum cnxn socket timeout,info,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.QuorumCnxManager createCnxnManager()>
"maxCnxns should be greater than or equal to , using default value <*>.",warn,<org.apache.zookeeper.server.ServerCnxnFactory: void initMaxCnxns()>
"maxCnxns is not configured, using default value <*>.",warn,<org.apache.zookeeper.server.ServerCnxnFactory: void initMaxCnxns()>
maxCnxns configured value is <*>.,info,<org.apache.zookeeper.server.ServerCnxnFactory: void initMaxCnxns()>
Ignoring error closing connection to leader,warn,<org.apache.zookeeper.server.quorum.Learner: void closeSockSync()>
Usage: LogChopper zxid_to_chop_to txn_log_to_chop chopped_filename,println,<org.apache.zookeeper.server.util.LogChopper: void main(java.lang.String)>
    this program will read the txn_log_to_chop file and copy all the transactions,println,<org.apache.zookeeper.server.util.LogChopper: void main(java.lang.String)>
"Authentication scheme , scheme,  is not available., ",error,<org.apache.zookeeper.server.AuthenticationHelper: void lambda$validateConfiguredProperties$1(java.lang.String)>
connecting to <*> <*>,info,"<org.apache.zookeeper.client.FourLetterWordMain: java.lang.String send4LetterWord(java.lang.String,int,java.lang.String,boolean,int)>"
using secure socket,info,"<org.apache.zookeeper.client.FourLetterWordMain: java.lang.String send4LetterWord(java.lang.String,int,java.lang.String,boolean,int)>"
"Exception in closing , c, ",warn,"<org.apache.zookeeper.common.IOUtils: void cleanup(org.slf4j.Logger,java.io.Closeable)>"
"header, :, rp, <*>, ",trace,"<org.apache.zookeeper.server.ZooTrace: void logRequest(org.slf4j.Logger,long,char,org.apache.zookeeper.server.Request,java.lang.String)>"
IO exception while sending response,error,<org.apache.zookeeper.server.quorum.ReadOnlyRequestProcessor: void sendErrorResponse(org.apache.zookeeper.server.Request)>
Timeout error occurred for the packet \'<*>\'.,error,"<org.apache.zookeeper.ClientCnxn: void waitForPacketFinish(org.apache.zookeeper.proto.ReplyHeader,org.apache.zookeeper.ClientCnxn$Packet)>"
Exiting JVM with code <*>,error,<org.apache.zookeeper.util.ServiceUtils: void lambda$static$0(java.lang.Integer)>
ClientCnxn:sendSaslPacket:length=<*>,debug,<org.apache.zookeeper.client.ZooKeeperSaslClient: void sendSaslPacket(org.apache.zookeeper.ClientCnxn)>
Error closing file iterator,warn,<org.apache.zookeeper.server.TxnLogProposalIterator: void close()>
Stat command output,info,<org.apache.zookeeper.server.command.StatCommand: void commandRun()>
"error,  Zookeeper Client will go to AUTH_FAILED state., ",error,<org.apache.zookeeper.client.ZooKeeperSaslClient: byte createSaslToken(byte)>
"Cannot make SASL token without subject defined. For diagnosis, please look for WARNs and ERRORs in your log related to the Login class.",<init>,<org.apache.zookeeper.client.ZooKeeperSaslClient: byte createSaslToken(byte)>
PeerState set to LOOKING,warn,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateServerState()>
PeerState set to LEADING,debug,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateServerState()>
PeerState set to FOLLOWING,debug,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateServerState()>
PeerState set to OBSERVER,debug,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateServerState()>
Should not be here,debug,<org.apache.zookeeper.server.quorum.QuorumPeer: void updateServerState()>
"unknown type , opCode, ",warn,"<org.apache.zookeeper.ZooKeeper: org.apache.jute.Record getRemoveWatchesRequest(int,org.apache.zookeeper.Watcher$WatcherType,java.lang.String)>"
Port unification <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setUsePortUnification(boolean)>
First packet should have been NEWLEADER,error,<org.apache.zookeeper.server.quorum.Learner: long registerWithLeader(int)>
tickTime set to <*> ms,info,<org.apache.zookeeper.server.ZooKeeperServer: void setTickTime(int)>
Committing global session x<*>,info,"<org.apache.zookeeper.server.quorum.LearnerSessionTracker: boolean commitSession(long,int)>"
message readable <*> bb len <*> <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
x<*> bb <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
after readBytes message readable <*> bb len <*> <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
after readbytes x<*> bb <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
got conn req request from <*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
message readable <*> bblenrem <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
x<*> bbLen <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
x<*> bbLen <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
x<*> bbLen len is <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
Closing connection to <*> because the server is not ready,info,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
Closing connection to <*>,warn,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
Closing connection to <*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void receiveMessage(io.netty.buffer.ByteBuf)>
throttledOpWaitTime set to <*> ms,info,<org.apache.zookeeper.server.ZooKeeperServer: void setThrottledOpWaitTime(int)>
Error closing a command socket ,error,<org.apache.zookeeper.server.ServerCnxn: void cleanupWriterSocket(java.io.PrintWriter)>
Error closing PrintWriter ,info,<org.apache.zookeeper.server.ServerCnxn: void cleanupWriterSocket(java.io.PrintWriter)>
Error closing a command socket ,error,<org.apache.zookeeper.server.ServerCnxn: void cleanupWriterSocket(java.io.PrintWriter)>
Error closing a command socket ,error,<org.apache.zookeeper.server.ServerCnxn: void cleanupWriterSocket(java.io.PrintWriter)>
Received <*> response from the server,info,"<org.apache.zookeeper.server.controller.CommandClient: boolean trySendCommand(org.apache.zookeeper.server.controller.ControlCommand$Action,java.lang.String)>"
Failed to get response from server,warn,"<org.apache.zookeeper.server.controller.CommandClient: boolean trySendCommand(org.apache.zookeeper.server.controller.ControlCommand$Action,java.lang.String)>"
Unknown exception when sending command,error,"<org.apache.zookeeper.server.controller.CommandClient: boolean trySendCommand(org.apache.zookeeper.server.controller.ControlCommand$Action,java.lang.String)>"
Exception when observing the leader,warn,<org.apache.zookeeper.server.quorum.Observer: void observeLeader()>
Disconnected from leader (with address: <*>). Was connected for <*>ms. Sync state: <*>,info,<org.apache.zookeeper.server.quorum.Observer: void observeLeader()>
,dumpToLog,<org.apache.zookeeper.server.quorum.Observer: void observeLeader()>
Disconnected from leader (with address: <*>). Was connected for <*>ms. Sync state: <*>,info,<org.apache.zookeeper.server.quorum.Observer: void observeLeader()>
,dumpToLog,<org.apache.zookeeper.server.quorum.Observer: void observeLeader()>
"Updating proposal: <*> (newleader), x<*> (newzxid), <*> (oldleader), x<*> (oldzxid)",debug,"<org.apache.zookeeper.server.quorum.FastLeaderElection: void updateProposal(long,long,long)>"
Checking server <*> for being r/w. Timeout <*>,info,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Exception while seeking for r/w server.,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void pingRwServer()>
Reconfig operation requested but reconfig feature is disabled.,error,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
"skipACL is set, reconfig operation will skip ACL checks!",warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Non-incremental reconfig,info,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Incremental reconfig,info,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Incremental reconfiguration requested but last configuration seen has a non-majority quorum system,warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Reconfig failed - new configuration must include at least  followers,warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Reconfig failed - new configuration must include at least  follower,warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
Reconfig failed - there must be a connected and synced quorum in new configuration,warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
unknown type <*>,warn,"<org.apache.zookeeper.server.PrepRequestProcessor: void pRequest2Txn(int,long,org.apache.zookeeper.server.Request,org.apache.jute.Record,boolean)>"
ConnnectionExpirerThread interrupted,info,<org.apache.zookeeper.server.NIOServerCnxnFactory$ConnectionExpirerThread: void run()>
Ignoring exception closing cnxn session id x<*>,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory: void closeAll(org.apache.zookeeper.server.ServerCnxn$DisconnectReason)>
Ignoring addWatch with closed cnxn,debug,"<org.apache.zookeeper.server.watch.WatchManagerOptimized: boolean addWatch(java.lang.String,org.apache.zookeeper.Watcher)>"
Cannot boot MetricsProvider <*>,error,"<org.apache.zookeeper.metrics.impl.MetricsProviderBootstrap: org.apache.zookeeper.metrics.MetricsProvider startMetricsProvider(java.lang.String,java.util.Properties)>"
Cannot boot MetricsProvider <*>,error,"<org.apache.zookeeper.metrics.impl.MetricsProviderBootstrap: org.apache.zookeeper.metrics.MetricsProvider startMetricsProvider(java.lang.String,java.util.Properties)>"
<*> set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setQuorumServerLoginContext(java.lang.String)>
"Interrupted while attempting to start ReadOnlyZooKeeperServer, not started",info,<org.apache.zookeeper.server.quorum.QuorumPeer$1: void run()>
FAILED to start ReadOnlyZooKeeperServer,error,<org.apache.zookeeper.server.quorum.QuorumPeer$1: void run()>
sasl client was unexpectedly null: cannot respond to Zookeeper server.,warn,"<org.apache.zookeeper.client.ZooKeeperSaslClient$ServerSaslResponseCallback: void processResult(int,java.lang.String,java.lang.Object,byte,org.apache.zookeeper.data.Stat)>"
ServerSaslResponseCallback(): saslToken server response: (length=<*>),debug,"<org.apache.zookeeper.client.ZooKeeperSaslClient$ServerSaslResponseCallback: void processResult(int,java.lang.String,java.lang.Object,byte,org.apache.zookeeper.data.Stat)>"
ServerSaslResponseCallback(): using empty data as server response (length=<*>),debug,"<org.apache.zookeeper.client.ZooKeeperSaslClient$ServerSaslResponseCallback: void processResult(int,java.lang.String,java.lang.Object,byte,org.apache.zookeeper.data.Stat)>"
shutdown Follower,info,<org.apache.zookeeper.server.quorum.Follower: void shutdown()>
Unexpected exception,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: java.lang.String packetToString(org.apache.zookeeper.server.quorum.QuorumPacket)>
x<*> queuedBuffer: <*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
x<*> buf <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
Received message while throttled,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
allocating queue,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
x<*> queuedBuffer <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
not throttled,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
Before copy <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
Copy is <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
x<*> queuedBuffer <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processMessage(io.netty.buffer.ByteBuf)>
"ZKShutdownHandler is not registered, so ZooKeeper server won\'t take any action on ERROR or SHUTDOWN server state changes",debug,<org.apache.zookeeper.server.ZooKeeperServer: void setState(org.apache.zookeeper.server.ZooKeeperServer$State)>
Error during unregister of <*>,warn,<org.apache.zookeeper.jmx.MBeanRegistry: void unregister(org.apache.zookeeper.jmx.ZKMBeanInfo)>
Unexpected exception during unregister of <*>. It should be reviewed and fixed.,error,<org.apache.zookeeper.jmx.MBeanRegistry: void unregister(org.apache.zookeeper.jmx.ZKMBeanInfo)>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void startConnect(java.net.InetSocketAddress)>
"SASL configuration failed. Will continue connection to Zookeeper server without SASL authentication, if Zookeeper server allows it.",warn,<org.apache.zookeeper.ClientCnxn$SendThread: void startConnect(java.net.InetSocketAddress)>
ExecutorService rejected execution,warn,"<org.apache.zookeeper.server.WorkerService: void schedule(org.apache.zookeeper.server.WorkerService$WorkRequest,long)>"
QuorumLearner supplied realm: <*>,debug,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handleRealmCallback(javax.security.sasl.RealmCallback)>
Shutting down,info,<org.apache.zookeeper.server.quorum.ProposalRequestProcessor: void shutdown()>
Loading SSLContext supplier from property \'<*>\',debug,<org.apache.zookeeper.common.X509Util: org.apache.zookeeper.common.SSLContextAndOptions createSSLContextAndOptions(org.apache.zookeeper.common.ZKConfig)>
Ignoring error closing connection to learner <*>,warn,<org.apache.zookeeper.server.quorum.LearnerHandler: void closeSockSync()>
"<*> is accepting connections now, my election bind port: <*>",info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Received connection request from <*>,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
"The socket is listening for the election accepted and it timed out unexpectedly, but will retry.see ZOOKEEPER-",warn,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Exception while listening to address <*>,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Error closing server socket,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Interrupted while sleeping. Ignoring exception,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Leaving listener thread for address <*> after <*> errors. Use <*> property to increase retry count.,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void acceptConnections()>
Not able to get the number of open file descriptors,warn,<org.apache.zookeeper.server.util.OSMXBean: long getOpenFileDescriptorCount()>
multiAddress.reachabilityCheckTimeoutMs set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setMultiAddressReachabilityCheckTimeoutMs(int)>
"Could not login: the <*> is being asked for a password, but the ZooKeeper <*> code does not currently support obtaining a password from the user. Make sure that the <*> is configured to use a ticket cache (using the JAAS configuration setting \'useTicketCache=true)\' and restart the <*>. If you still get this message after that, the TGT in the ticket cache has expired and must be manually refreshed. To do so, first determine if you are using a password or a keytab. If the former, run kinit in a Unix shell in the environment of the user who is running this Zookeeper <*> using the command \'kinit <princ>\' (where <princ> is the name of the <*>\'s Kerberos principal). If the latter, do \'kinit -k -t <keytab> <princ>\' (where <princ> is the name of the Kerberos principal, and <keytab> is the location of the keytab file). After manually refreshing your cache, restart this <*>. If you continue to see this message after manually refreshing your cache, ensure that your KDC host\'s clock is in sync with this host\'s clock.",warn,<org.apache.zookeeper.SaslClientCallbackHandler: void handle(javax.security.auth.callback.Callback)>
"Digest version changed, local: <*>, new: <*>, skip comparing digest now.",info,<org.apache.zookeeper.server.DataTree: void compareSnapshotDigests(long)>
The txn x<*> of snapshot digest does not exist.,rateLimitLog,<org.apache.zookeeper.server.DataTree: void compareSnapshotDigests(long)>
"ZooKeeper server is not running, so not proceeding to shutdown!",debug,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void shutdown()>
Shutting down,info,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void shutdown()>
Ignoring unexpected exception during shutdown,warn,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void shutdown()>
Ignoring unexpected exception in syncprocessor shutdown,warn,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void shutdown()>
Start the RequestPath collector,info,<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void start()>
Unexpected ensemble name: ensemble name: <*> client ip: <*>,warn,"<org.apache.zookeeper.server.auth.EnsembleAuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
Throttled request sent to leader: <*>. Exiting,error,<org.apache.zookeeper.server.quorum.Learner: void request(org.apache.zookeeper.server.Request)>
Snapshot directory has log files. Check if dataLogDir and dataDir configuration is correct.,<init>,<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void checkSnapDir()>
Attempting to delete candidate container: <*>,info,<org.apache.zookeeper.server.ContainerManager: void checkContainers()>
Could not delete container: <*>,error,<org.apache.zookeeper.server.ContainerManager: void checkContainers()>
Logj . jmx support is disabled by property.,info,<org.apache.zookeeper.jmx.ManagedUtil: boolean isLog4jJmxEnabled()>
org.apache.logj.jmx.HierarchyDynamicMBean,forName,<org.apache.zookeeper.jmx.ManagedUtil: boolean isLog4jJmxEnabled()>
Logj . jmx support found and enabled.,info,<org.apache.zookeeper.jmx.ManagedUtil: boolean isLog4jJmxEnabled()>
Logj . jmx support not found; jmx disabled.,info,<org.apache.zookeeper.jmx.ManagedUtil: boolean isLog4jJmxEnabled()>
Getting a diff from the leader x<*>,info,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Forcing a snapshot write as part of upgrading from an older Zookeeper. This should only happen while upgrading.,info,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Getting a snapshot from leader x<*>,info,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Reset config node content from local config after deserialization of snapshot.,debug,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Missing signature. Got <*>,error,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Truncating log to get in sync with the leader x<*>,warn,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Not able to truncate the log x<*>,error,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
"Got unexpected packet from leader: <*>, exiting ... ",error,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Got zxid x<*> expected x<*>,warn,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
"Committing x<*>, but next proposal is x<*>",warn,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Got zxid x<*> expected x<*>,warn,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Learner received UPTODATE message,info,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
Learner received NEWLEADER message,info,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
"Committing x<*>, but next proposal is x<*>",warn,<org.apache.zookeeper.server.quorum.Learner: void syncWithLeader(long)>
binding to port <*>,info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void start()>
bound to port <*>,info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void start()>
Takes <*> to process <*> watches,info,<org.apache.zookeeper.server.watch.WatcherCleaner$1: void doWork()>
,log,"<org.apache.zookeeper.audit.AuditHelper: void log(org.apache.zookeeper.server.Request,java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.apache.zookeeper.audit.AuditEvent$Result)>"
got auth packet <*>,info,"<org.apache.zookeeper.server.ZooKeeperServer: void processPacket(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
Caught runtime exception from AuthenticationProvider: <*>,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void processPacket(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
Session x<*>: auth success for scheme <*> and address <*>,info,"<org.apache.zookeeper.server.ZooKeeperServer: void processPacket(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
No authentication provider for scheme: <*> has <*>,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void processPacket(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
Authentication failed for scheme: <*>,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void processPacket(org.apache.zookeeper.server.ServerCnxn,java.nio.ByteBuffer)>"
<*> = <*> ms,info,<org.apache.zookeeper.server.RequestThrottler: void <clinit>()>
Peer state changed: <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setSyncMode(org.apache.zookeeper.server.quorum.QuorumPeer$SyncMode)>
No password found for user: <*>,warn,<org.apache.zookeeper.server.auth.SaslServerCallbackHandler: void handlePasswordCallback(javax.security.auth.callback.PasswordCallback)>
SASL authentication with Zookeeper Quorum member failed.,error,<org.apache.zookeeper.ClientCnxn$SendThread: void run()>
An exception was thrown while closing send thread for session x<*>.,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void run()>
"Session x<*> for server <*>, Closing socket connection. Attempting reconnect except it is a SessionExpiredException.",warn,<org.apache.zookeeper.ClientCnxn$SendThread: void run()>
Sending unthrottle event <*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void enableRecv()>
Successfully authenticated client: authenticationID=<*>;  authorizationID=<*>.,info,<org.apache.zookeeper.server.auth.SaslServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
Setting authorizedID: <*>,info,<org.apache.zookeeper.server.auth.SaslServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
Failed to set name based on Kerberos authentication rules.,error,<org.apache.zookeeper.server.auth.SaslServerCallbackHandler: void handleAuthorizeCallback(javax.security.sasl.AuthorizeCallback)>
Queue is full. Discarding oldest element count=<*>: <*>,debug,<org.apache.zookeeper.util.CircularBlockingQueue: boolean offer(java.lang.Object)>
<*> = <*> ms,info,<org.apache.zookeeper.server.ZooKeeperServer: void setMaxWriteQueuePollTime(long)>
Ignoring exception during shutdown input,debug,<org.apache.zookeeper.ClientCnxnSocketNIO: void cleanup()>
Ignoring exception during shutdown output,debug,<org.apache.zookeeper.ClientCnxnSocketNIO: void cleanup()>
Ignoring exception during socket close,debug,<org.apache.zookeeper.ClientCnxnSocketNIO: void cleanup()>
Ignoring exception during channel close,debug,<org.apache.zookeeper.ClientCnxnSocketNIO: void cleanup()>
"SendThread interrupted during sleep, ignoring",debug,<org.apache.zookeeper.ClientCnxnSocketNIO: void cleanup()>
Committed request not found on toBeApplied: <*>,error,<org.apache.zookeeper.server.quorum.Leader$ToBeAppliedRequestProcessor: void processRequest(org.apache.zookeeper.server.Request)>
Unable to get size of most recent snapshot,error,<org.apache.zookeeper.server.ZKDatabase: long calculateTxnLogSizeLimit()>
Digest version not the same on zxid.,rateLimitLog,"<org.apache.zookeeper.server.DataTree: boolean compareDigest(org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record,org.apache.zookeeper.txn.TxnDigest)>"
"Digest in log: <*>, actual tree: <*>",debug,"<org.apache.zookeeper.server.DataTree: boolean compareDigest(org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record,org.apache.zookeeper.txn.TxnDigest)>"
"First digest mismatch on txn: <*>, <*>, expected digest is <*>, actual digest is <*>, ",error,"<org.apache.zookeeper.server.DataTree: boolean compareDigest(org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record,org.apache.zookeeper.txn.TxnDigest)>"
